id,cores,threads,name,processor_number,launch_date,lithography,bus_speed,base_frequency,turbo_frequency,configurable_tdp_up_frequency,cache_size,tdp,configurable_tdp_up,price,product_line,socket,memory_type,url,vertical_segment,max_memory_size,status,max_temp,sku,package_size,fullname
11,2,4,Intel Core i7-5650U,i7-5650U,2015-02-01,14,5,2200,3100,,4096,15,,426,5th Generation Intel Core i7 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1600/1866",https://www.intel.com/content/www/us/en/products/sku/84995/intel-core-i75650u-processor-4m-cache-up-to-3-20-ghz/specifications.html,Mobile,16777216,Launched,105,84995,40mm x24mm x 1.3mm,"Intel Core i7-5650U Processor (4M Cache, up to 3.20 GHz)"
12,2,4,Intel Core i7-5500U,i7-5500U,2015-02-01,14,5,2400,3000,,4096,15,,393,5th Generation Intel Core i7 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/85214/intel-core-i75500u-processor-4m-cache-up-to-3-00-ghz/specifications.html,Mobile,16777216,Discontinued,105,85214,40mm x 24mm x 1.3mm,"Intel Core i7-5500U Processor (4M Cache, up to 3.00 GHz)"
13,2,4,Intel Core i7-5600U,i7-5600U,2015-02-01,14,5,2600,3200,,4096,15,,,5th Generation Intel Core i7 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/85215/intel-core-i75600u-processor-4m-cache-up-to-3-20-ghz/specifications.html,Mobile,16777216,Discontinued,105,85215,40mm x 24mm x 1.3mm,"Intel Core i7-5600U Processor (4M Cache, up to 3.20 GHz)"
14,4,8,Intel Core i7-5850EQ,i7-5850EQ,2015-05-01,14,5,2700,3400,,6144,47,,435,5th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1600,https://www.intel.com/content/www/us/en/products/sku/88094/intel-core-i75850eq-processor-6m-cache-up-to-3-40-ghz/specifications.html,Embedded,33554432,Launched,105,88094,37.5mm x 32mm x 1.8mm,"Intel Core i7-5850EQ Processor (6M Cache, up to 3.40 GHz)"
15,4,8,Intel Core i7-4810MQ,i7-4810MQ,2014-02-01,22,5,2800,3800,,6144,47,,,4th Generation Intel Core i7 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/78937/intel-core-i74810mq-processor-6m-cache-up-to-3-80-ghz/specifications.html,Mobile,33554432,Discontinued,100,78937,37.5mm x 37.5mm x 4.7mm,"Intel Core i7-4810MQ Processor (6M Cache, up to 3.80 GHz)"
16,4,8,Intel Core i7-4702MQ,i7-4702MQ,2013-05-01,22,5,2200,3200,,6144,37,,,4th Generation Intel Core i7 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75119/intel-core-i74702mq-processor-6m-cache-up-to-3-20-ghz/specifications.html,Mobile,33554432,Discontinued,100,75119,37.5mm x 32mm x 1.6mm,"Intel Core i7-4702MQ Processor (6M Cache, up to 3.20 GHz)"
17,4,8,Intel Core i7-4765T,i7-4765T,2013-05-01,22,5,2000,3000,,8192,35,,,4th Generation Intel Core i7 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75121/intel-core-i74765t-processor-8m-cache-up-to-3-00-ghz/specifications.html,Desktop,33554432,Discontinued,66.35,75121,37.5mm x 37.5mm,"Intel Core i7-4765T Processor (8M Cache, up to 3.00 GHz)"
18,4,8,Intel Core i7-4770,i7-4770,2013-05-01,22,5,3400,3900,,8192,84,,312,4th Generation Intel Core i7 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75122/intel-core-i74770-processor-8m-cache-up-to-3-90-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75122,37.5mm x 37.5mm,"Intel Core i7-4770 Processor (8M Cache, up to 3.90 GHz)"
19,4,8,Intel Core i7-4770K,i7-4770K,2013-05-01,22,5,3500,3900,,8192,84,,350,4th Generation Intel Core i7 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75123/intel-core-i74770k-processor-8m-cache-up-to-3-90-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75123,37.5mm x 37.5mm,"Intel Core i7-4770K Processor (8M Cache, up to 3.90 GHz)"
20,4,8,Intel Core i7-4770S,i7-4770S,2013-05-01,22,5,3100,3900,,8192,65,,303,4th Generation Intel Core i7 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75124/intel-core-i74770s-processor-8m-cache-up-to-3-90-ghz/specifications.html,Desktop,33554432,Launched,71.35,75124,37.5mm x 37.5mm,"Intel Core i7-4770S Processor (8M Cache, up to 3.90 GHz)"
21,4,8,Intel Core i7-4770T,i7-4770T,2013-05-01,22,5,2500,3700,,8192,45,,,4th Generation Intel Core i7 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75125/intel-core-i74770t-processor-8m-cache-up-to-3-70-ghz/specifications.html,Desktop,33554432,Discontinued,71.45,75125,37.5mm x 37.5mm,"Intel Core i7-4770T Processor (8M Cache, up to 3.70 GHz)"
22,4,8,Intel Core i7-4700MQ,i7-4700MQ,2013-05-01,22,5,2400,3400,,6144,47,,,4th Generation Intel Core i7 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75117/intel-core-i74700mq-processor-6m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,75117,37.5mm x 32mm x 1.6mm,"Intel Core i7-4700MQ Processor (6M Cache, up to 3.40 GHz)"
23,4,8,Intel Core i7-4900MQ,i7-4900MQ,2013-05-01,22,5,2800,3800,,8192,47,,570,4th Generation Intel Core i7 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75131/intel-core-i74900mq-processor-8m-cache-up-to-3-80-ghz/specifications.html,Mobile,33554432,Discontinued,100,75131,37.5mm x 37.5mm x 4.7mm,"Intel Core i7-4900MQ Processor (8M Cache, up to 3.80 GHz)"
24,4,8,Intel Core i7-4700HQ,i7-4700HQ,2013-05-01,22,5,2400,3400,,6144,47,,,4th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75116/intel-core-i74700hq-processor-6m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,75116,37.5mm x 32mm x 1.6mm,"Intel Core i7-4700HQ Processor (6M Cache, up to 3.40 GHz)"
25,4,8,Intel Core i7-4702HQ,i7-4702HQ,2013-05-01,22,5,2200,3200,,6144,37,,,4th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75118/intel-core-i74702hq-processor-6m-cache-up-to-3-20-ghz/specifications.html,Mobile,33554432,Discontinued,100,75118,37.5mm x 32mm x 1.6mm,"Intel Core i7-4702HQ Processor (6M Cache, up to 3.20 GHz)"
26,2,4,Intel Core i5-4250U,i5-4250U,2013-08-01,22,5,1300,2600,,3072,15,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75028/intel-core-i54250u-processor-3m-cache-up-to-2-60-ghz/specifications.html,Mobile,16777216,Discontinued,100,75028,40mm x 24mm x 1.5mm,"Intel Core i5-4250U Processor (3M Cache, up to 2.60 GHz)"
27,2,4,Intel Core i5-4288U,i5-4288U,2013-08-01,22,5,2600,3100,,3072,28,,,4th Generation Intel Core i5 Processors,FCBGA1168,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75991/intel-core-i54288u-processor-3m-cache-up-to-3-10-ghz/specifications.html,Mobile,16777216,Discontinued,100,75991,40mm x 24mm x 1.5mm,"Intel Core i5-4288U Processor (3M Cache, up to 3.10 GHz)"
28,4,4,Intel Core i5-4570R,i5-4570R,2013-05-01,22,5,2700,3200,,4096,65,,,4th Generation Intel Core i5 Processors,FCBGA1364,DDR3 and DDR3L 1333/1600 at 1.5V,https://www.intel.com/content/www/us/en/products/sku/76640/intel-core-i54570r-processor-4m-cache-up-to-3-20-ghz/specifications.html,Desktop,33554432,Discontinued,,76640,37.5mm x 32mm x 1.65mm,"Intel Core i5-4570R Processor (4M Cache, up to 3.20 GHz)"
29,4,4,Intel Core i5-4670R,i5-4670R,2013-05-01,22,5,3000,3700,,4096,65,,,4th Generation Intel Core i5 Processors,FCBGA1364,DDR3 and DDR3L 1333/1600 at 1.5V,https://www.intel.com/content/www/us/en/products/sku/76641/intel-core-i54670r-processor-4m-cache-up-to-3-70-ghz/specifications.html,Desktop,33554432,Discontinued,,76641,37.5mm x 32mm x 1.65mm,"Intel Core i5-4670R Processor (4M Cache, up to 3.70 GHz)"
30,2,4,Intel Core i5-4210Y,i5-4210Y,2013-08-01,22,5,1500,1900,,3072,11.5,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/76611/intel-core-i54210y-processor-3m-cache-up-to-1-90-ghz/specifications.html,Mobile,16777216,Discontinued,100,76611,40mm x 24mm x 1.5mm,"Intel Core i5-4210Y Processor (3M Cache, up to 1.90 GHz)"
31,4,4,Intel Core i5-4430,i5-4430,2013-05-01,22,5,3000,3200,,6144,84,,187,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75036/intel-core-i54430-processor-6m-cache-up-to-3-20-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75036,37.5mm x 37.5mm,"Intel Core i5-4430 Processor (6M Cache, up to 3.20 GHz)"
32,2,4,Intel Core i5-4570TE,i5-4570TE,2013-05-01,22,5,2700,3300,,4096,35,,192,4th Generation Intel Core i5 Processors,FCLGA1150,DDR3 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75468/intel-core-i54570te-processor-4m-cache-up-to-3-30-ghz/specifications.html,Embedded,33554432,Launched,66.35,75468,37.5mm x 37.5mm (LGA 1150),"Intel Core i5-4570TE Processor (4M Cache, up to 3.30 GHz)"
33,4,4,Intel Core i5-4670T,i5-4670T,2013-05-01,22,5,2300,3300,,6144,45,,213,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75050/intel-core-i54670t-processor-6m-cache-up-to-3-30-ghz/specifications.html,Desktop,33554432,Discontinued,71.45,75050,37.5mm x 37.5mm,"Intel Core i5-4670T Processor (6M Cache, up to 3.30 GHz)"
34,4,4,Intel Core i5-4430S,i5-4430S,2013-05-01,22,5,2700,3200,,6144,65,,,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75037/intel-core-i54430s-processor-6m-cache-up-to-3-20-ghz/specifications.html,Desktop,33554432,Discontinued,71.35,75037,37.5mm x 37.5mm,"Intel Core i5-4430S Processor (6M Cache, up to 3.20 GHz)"
35,4,4,Intel Core i5-4670S,i5-4670S,2013-05-01,22,5,3100,3800,,6144,65,,,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75049/intel-core-i54670s-processor-6m-cache-up-to-3-80-ghz/specifications.html,Desktop,33554432,Discontinued,71.35,75049,37.5mm x 37.5mm,"Intel Core i5-4670S Processor (6M Cache, up to 3.80 GHz)"
36,4,4,Intel Core i5-4670K,i5-4670K,2013-05-01,22,5,3400,3800,,6144,84,,243,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75048/intel-core-i54670k-processor-6m-cache-up-to-3-80-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75048,37.5mm x 37.5mm,"Intel Core i5-4670K Processor (6M Cache, up to 3.80 GHz)"
37,4,4,Intel Core i5-4570,i5-4570,2013-05-01,22,5,3200,3600,,6144,84,,192,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75043/intel-core-i54570-processor-6m-cache-up-to-3-60-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75043,37.5mm x 37.5mm,"Intel Core i5-4570 Processor (6M Cache, up to 3.60 GHz)"
38,4,4,Intel Core i5-4570S,i5-4570S,2013-05-01,22,5,2900,3600,,6144,65,,192,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75044/intel-core-i54570s-processor-6m-cache-up-to-3-60-ghz/specifications.html,Desktop,33554432,Launched,71.35,75044,37.5mm x 37.5mm,"Intel Core i5-4570S Processor (6M Cache, up to 3.60 GHz)"
39,2,4,Intel Core i5-4570T,i5-4570T,2013-05-01,22,5,2900,3600,,4096,35,,195,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75045/intel-core-i54570t-processor-4m-cache-up-to-3-60-ghz/specifications.html,Desktop,33554432,Discontinued,66.35,75045,37.5mm x 37.5mm,"Intel Core i5-4570T Processor (4M Cache, up to 3.60 GHz)"
40,4,4,Intel Core i5-4670,i5-4670,2013-05-01,22,5,3400,3800,,6144,84,,224,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75047/intel-core-i54670-processor-6m-cache-up-to-3-80-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75047,37.5mm x 37.5mm,"Intel Core i5-4670 Processor (6M Cache, up to 3.80 GHz)"
41,2,4,Intel Core i5-4258U,i5-4258U,2013-08-01,22,5,2400,2900,,3072,28,,,4th Generation Intel Core i5 Processors,FCBGA1168,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75990/intel-core-i54258u-processor-3m-cache-up-to-2-90-ghz/specifications.html,Mobile,16777216,Discontinued,100,75990,40mm x 24mm x 1.5mm,"Intel Core i5-4258U Processor (3M Cache, up to 2.90 GHz)"
42,2,4,Intel Core i5-4200Y,i5-4200Y,2013-08-01,22,5,1400,1900,,3072,11.5,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75802/intel-core-i54200y-processor-3m-cache-up-to-1-90-ghz/specifications.html,Mobile,16777216,Discontinued,100,75802,40mm x 24mm x 1.5mm,"Intel Core i5-4200Y Processor (3M Cache, up to 1.90 GHz)"
43,2,4,Intel Core i5-4200U,i5-4200U,2013-08-01,22,5,1600,2600,,3072,15,,281,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75459/intel-core-i54200u-processor-3m-cache-up-to-2-60-ghz/specifications.html,Mobile,16777216,Discontinued,100,75459,40mm x 24mm x 1.5mm,"Intel Core i5-4200U Processor (3M Cache, up to 2.60 GHz)"
44,2,4,Intel Core i5-4350U,i5-4350U,2013-08-01,22,5,1400,2900,,3072,15,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75033/intel-core-i54350u-processor-3m-cache-up-to-2-90-ghz/specifications.html,Mobile,16777216,Discontinued,100,75033,40mm x 24mm x 1.5mm,"Intel Core i5-4350U Processor (3M Cache, up to 2.90 GHz)"
45,2,4,Intel Core i5-4200M,i5-4200M,2013-11-01,22,5,2500,3100,,3072,37,,,4th Generation Intel Core i5 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/76348/intel-core-i54200m-processor-3m-cache-up-to-3-10-ghz/specifications.html,Mobile,33554432,Discontinued,100,76348,37.5mm x 37.5mm x 4.7mm,"Intel Core i5-4200M Processor (3M Cache, up to 3.10 GHz)"
46,2,4,Intel Core i5-4300Y,i5-4300Y,2013-08-01,22,5,1600,2300,,3072,11.5,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/76612/intel-core-i54300y-processor-3m-cache-up-to-2-30-ghz/specifications.html,Mobile,16777216,Discontinued,100,76612,40mm x 24mm x 1.5mm,"Intel Core i5-4300Y Processor (3M Cache, up to 2.30 GHz)"
47,2,4,Intel Core i5-4302Y,i5-4302Y,2013-08-01,22,5,1600,2300,,3072,11.5,,,4th Generation Intel Core i5 Processors,,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/76613/intel-core-i54302y-processor-3m-cache-up-to-2-30-ghz/specifications.html,Mobile,16777216,Discontinued,100,76613,40mm x 24mm x 1.5mm,"Intel Core i5-4302Y Processor (3M Cache, up to 2.30 GHz)"
48,2,4,Intel Core i5-4330M,i5-4330M,2013-11-01,22,5,2800,3500,,3072,37,,,4th Generation Intel Core i5 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/76750/intel-core-i54330m-processor-3m-cache-up-to-3-50-ghz/specifications.html,Mobile,33554432,Discontinued,100,76750,37.5mm x 37.5mm x 4.7mm,"Intel Core i5-4330M Processor (3M Cache, up to 3.50 GHz)"
49,2,4,Intel Core i5-4202Y,i5-4202Y,2013-08-01,22,5,1600,2000,,3072,11.5,,,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/76610/intel-core-i54202y-processor-3m-cache-up-to-2-00-ghz/specifications.html,Mobile,16777216,Discontinued,100,76610,40mm x 24mm x 1.5mm,"Intel Core i5-4202Y Processor (3M Cache, up to 2.00 GHz)"
50,2,4,Intel Core i5-4300M,i5-4300M,2013-11-01,22,5,2600,3300,,3072,37,,227,4th Generation Intel Core i5 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/76347/intel-core-i54300m-processor-3m-cache-up-to-3-30-ghz/specifications.html,Mobile,33554432,Discontinued,100,76347,37.5mm x 37.5mm x 4.7mm,"Intel Core i5-4300M Processor (3M Cache, up to 3.30 GHz)"
51,2,4,Intel Core i5-4300U,i5-4300U,2013-08-01,22,5,1900,2900,,3072,15,,281,4th Generation Intel Core i5 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/76308/intel-core-i54300u-processor-3m-cache-up-to-2-90-ghz/specifications.html,Mobile,16777216,Launched,100,76308,40mm x 24mm x 1.5mm,"Intel Core i5-4300U Processor (3M Cache, up to 2.90 GHz)"
52,2,4,Intel Core i5-4402E,i5-4402E,2013-08-01,22,5,1600,2700,,3072,25,,266,4th Generation Intel Core i5 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/76307/intel-core-i54402e-processor-3m-cache-up-to-2-70-ghz/specifications.html,Embedded,16777216,Launched,100,76307,37.5mm x 32mm x 1.6mm,"Intel Core i5-4402E Processor (3M Cache, up to 2.70 GHz)"
53,4,4,Intel Core i5-4440S,i5-4440S,2013-08-01,22,5,2800,3300,,6144,65,,187,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75040/intel-core-i54440s-processor-6m-cache-up-to-3-30-ghz/specifications.html,Desktop,33554432,Discontinued,71.35,75040,37.5mm x 37.5mm,"Intel Core i5-4440S Processor (6M Cache, up to 3.30 GHz)"
54,4,4,Intel Core i5-4440,i5-4440,2013-08-01,22,5,3100,3300,,6144,84,,187,4th Generation Intel Core i5 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/75038/intel-core-i54440-processor-6m-cache-up-to-3-30-ghz/specifications.html,Desktop,33554432,Discontinued,72.72,75038,37.5mm x 37.5mm,"Intel Core i5-4440 Processor (6M Cache, up to 3.30 GHz)"
55,2,4,Intel Core i5-4200H,i5-4200H,2013-11-01,22,5,2800,3400,,3072,47,,,4th Generation Intel Core i5 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75027/intel-core-i54200h-processor-3m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,75027,37.5mm x 32mm x 1.65mm,"Intel Core i5-4200H Processor (3M Cache, up to 3.40 GHz)"
56,2,4,Intel Core i5-4360U,i5-4360U,2014-02-01,22,5,1500,3000,,3072,15,,,4th Generation Intel Core i5 Processors,,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75034/intel-core-i54360u-processor-3m-cache-up-to-3-00-ghz/specifications.html,Mobile,16777216,Discontinued,100,75034,40mm x 24mm x 1.5mm,"Intel Core i5-4360U Processor (3M Cache, up to 3.00 GHz)"
57,2,4,Intel Core i5-4310M,i5-4310M,2014-02-01,22,5,2700,3400,,3072,37,,,4th Generation Intel Core i5 Processors,,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/80373/intel-core-i54310m-processor-3m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,80373,37.5mm x 37.5mm x 4.7mm,"Intel Core i5-4310M Processor (3M Cache, up to 3.40 GHz)"
58,4,8,Intel Core i7-4800MQ,i7-4800MQ,2013-05-01,22,5,2700,3700,,6144,47,,380,4th Generation Intel Core i7 Processors,FCPGA946,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75128/intel-core-i74800mq-processor-6m-cache-up-to-3-70-ghz/specifications.html,Mobile,33554432,Discontinued,100,75128,37.5mm x 37.5mm x 4.7mm,"Intel Core i7-4800MQ Processor (6M Cache, up to 3.70 GHz)"
59,4,8,Intel Core i7-4700EQ,i7-4700EQ,2013-05-01,22,5,2400,3400,,6144,47,,378,4th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75469/intel-core-i74700eq-processor-6m-cache-up-to-3-40-ghz/specifications.html,Embedded,33554432,Launched,100,75469,37.5mm x 32mm x 1.6mm,"Intel Core i7-4700EQ Processor (6M Cache, up to 3.40 GHz)"
